type,label
http://hansi/4/ever/date/approx,approx
http://hansi/4/ever/idno/URL,
http://hansi/4/ever/idno/URL/auden-musulin-papers,
http://hansi/4/ever/idno/URL/bahr-textverzeichnis,
http://hansi/4/ever/idno/URL/bahr-tsn,
http://hansi/4/ever/idno/URL/brahms-online,
http://hansi/4/ever/idno/URL/dritte-walpurgisnacht,
http://hansi/4/ever/idno/URL/fackel,
http://hansi/4/ever/idno/URL/freud,
http://hansi/4/ever/idno/URL/geonames,
http://hansi/4/ever/idno/URL/gnd,
http://hansi/4/ever/idno/URL/hanslick-online,
http://hansi/4/ever/idno/URL/legalkraus,
http://hansi/4/ever/idno/URL/oebl,
http://hansi/4/ever/idno/URL/oeml,
http://hansi/4/ever/idno/URL/pmb,
http://hansi/4/ever/idno/URL/schnitzler-bahr,
http://hansi/4/ever/idno/URL/schnitzler-briefe,
http://hansi/4/ever/idno/URL/schnitzler-interviews,
http://hansi/4/ever/idno/URL/schnitzler-kino,
http://hansi/4/ever/idno/URL/schnitzler-lektueren,
http://hansi/4/ever/idno/URL/schnitzler-mikrofilme,
http://hansi/4/ever/idno/URL/schnitzler-tagebuch,
http://hansi/4/ever/idno/URL/schubert-digital,
http://hansi/4/ever/idno/URL/thun-korrespondenz,
http://hansi/4/ever/idno/URL/url,
http://hansi/4/ever/idno/URL/wiengeschichtewiki,
http://hansi/4/ever/idno/URL/wikidata,
http://hansi/4/ever/idno/URL/wikipedia,
http://hansi/4/ever/idno/xml-id,
http://hansi/4/ever/org/orgname,
http://hansi/4/ever/org/orgname/alternative-name,alternative-name
http://hansi/4/ever/org/orgname/anno,anno
http://hansi/4/ever/org/orgname/institution-namensvariante,institution_namensvariante
http://hansi/4/ever/org/orgname/legacy-name-merge,legacy-name-merge
http://hansi/4/ever/org/orgname/namensvariante,namensvariante
http://hansi/4/ever/org/orgname/ort-fruherer-name,ort_fruherer-name
http://hansi/4/ever/org/orgname/ort-namensvariante,ort_namensvariante
http://hansi/4/ever/org/orgname/werk-link,werk_link
http://hansi/4/ever/org/orgname/werk-namensvariante,werk_namensvariante
http://hansi/4/ever/person/persname,
http://hansi/4/ever/person/persname/alternative-name,alternative-name
http://hansi/4/ever/person/persname/legacy-name-merge,legacy-name-merge
http://hansi/4/ever/person/persname/namensvariante,namensvariante
http://hansi/4/ever/person/persname/person-adoptierter-nachname,person_adoptierter-nachname
http://hansi/4/ever/person/persname/person-ehename-nachname,person_ehename_nachname
http://hansi/4/ever/person/persname/person-geburtsname-nachname,person_geburtsname_nachname
http://hansi/4/ever/person/persname/person-geburtsname-vorname,person_geburtsname_vorname
http://hansi/4/ever/person/persname/person-geschieden,person_geschieden
http://hansi/4/ever/person/persname/person-namensvariante-nachname,person_namensvariante_nachname
http://hansi/4/ever/person/persname/person-namensvariante-vorname,person_namensvariante_vorname
http://hansi/4/ever/person/persname/person-pseudonym,person_pseudonym
http://hansi/4/ever/person/persname/person-rufname,person_rufname
http://hansi/4/ever/person/persname/person-verwitwet,person_verwitwet
http://hansi/4/ever/person/persname/werk-link,werk_link
http://hansi/4/ever/person/persname/werk-unter-diesem-namen-oder-kurzel-veroffentlicht,werk_unter-diesem-namen-oder-kurzel-veroffentlicht
http://hansi/4/ever/place/placename,
http://hansi/4/ever/place/placename/alternative-name,alternative-name
http://hansi/4/ever/place/placename/legacy-name,legacy-name
http://hansi/4/ever/place/placename/legacy-name-merge,legacy-name-merge
http://hansi/4/ever/place/placename/namensvariante,namensvariante
http://hansi/4/ever/place/placename/none,none
http://hansi/4/ever/place/placename/ort-fruherer-name,ort_fruherer-name
http://hansi/4/ever/place/placename/ort-namensvariante,ort_namensvariante
http://hansi/4/ever/place/placename/person-geburtsname-nachname,person_geburtsname_nachname
http://hansi/4/ever/place/placename/werk-namensvariante,werk_namensvariante
https://wmp1.acdh.oeaw.ac.at/srpc3/bruder-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/cousin-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/enkel-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/grossmutter-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/grossvater-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/kind-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/mutter-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/neffe-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/onkel-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwagerin-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwager-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwester-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwiegermutter-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwiegersohn-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwiegertochter-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/schwiegervater-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/stiefsohn-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/stiefvater-von,
https://wmp1.acdh.oeaw.ac.at/srpc3/vater-von,
